Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
15	0.994133114814758	0.994256734848022	0.994836688041687	0.995473265647888	0.99556827545166	0.996028423309326	0.99629271030426	0.996041595935822	0.996489107608795	0.997038006782532	0.996964514255524	0.997355937957764	0.997309625148773	0.997713446617126	0.997353494167328	0.998131215572357	0.999476552009583	0.998085737228394	0.998668909072876	0.998668611049652	0.99931126832962	0.998520493507385	0.998637914657593	0.999670445919037	0.999297618865967	0.999536454677582	0.999177813529968	0.999192357063293	0.999042987823486	0.999417304992676	1.00020956993103	0.999432146549225	0.999940097332001	0.998576462268829	0.999580025672913	0.999327182769775	0.998535811901093	0.999177098274231	0.998522520065308	0.997597277164459	0.997761785984039
18	0.993998050689697	0.994211971759796	0.99492621421814	0.994651615619659	0.994583487510681	0.994968354701996	0.995470523834229	0.994697213172913	0.99533873796463	0.996170341968536	0.995843052864075	0.996549248695374	0.996427774429321	0.997025966644287	0.996620833873749	0.996845543384552	0.997487485408783	0.997861444950104	0.997352719306946	0.997307300567627	0.998143434524536	0.99732494354248	0.997784733772278	0.998651802539825	0.998012363910675	0.998190581798553	0.998355627059937	0.997487306594849	0.998848557472229	0.99804276227951	0.998083472251892	0.998027443885803	0.998576998710632	0.997872233390808	0.998560130596161	0.998310506343842	0.997325539588928	0.998309373855591	0.997612178325653	0.997254073619843	0.997150003910065
21	0.990907073020935	0.991303026676178	0.991643190383911	0.992246329784393	0.991837918758392	0.992952704429626	0.992899298667908	0.992277383804321	0.992873668670654	0.993971288204193	0.993405699729919	0.99375581741333	0.993722438812256	0.9941565990448	0.993600487709045	0.994049847126007	0.994795560836792	0.994556367397308	0.995483160018921	0.994285523891449	0.995538294315338	0.994844138622284	0.995300054550171	0.995655834674835	0.995710909366608	0.994855940341949	0.994977176189423	0.994705379009247	0.995214819908142	0.995338559150696	0.996331691741943	0.995591700077057	0.996150374412537	0.994695544242859	0.995710372924805	0.995380103588104	0.994382202625275	0.995511591434479	0.994970679283142	0.994254410266876	0.99404639005661
24	0.986030459403992	0.986066997051239	0.987375199794769	0.986763477325439	0.986764550209045	0.987502992153168	0.987667262554169	0.987811088562012	0.987689554691315	0.988541007041931	0.988052487373352	0.988661825656891	0.988685429096222	0.988970756530762	0.988636374473572	0.989041566848755	0.989292025566101	0.989351987838745	0.989650189876556	0.99039614200592	0.99050772190094	0.99006187915802	0.989836692810059	0.990457773208618	0.990241229534149	0.990115582942963	0.990372955799103	0.990248262882233	0.990160465240479	0.990109384059906	0.990477323532104	0.989315450191498	0.991357088088989	0.989391028881073	0.990535736083984	0.990685522556305	0.990049302577972	0.990334987640381	0.989239931106567	0.988822221755981	0.989107429981232
27	0.991657316684723	0.992153346538544	0.9926877617836	0.992993295192719	0.992628753185272	0.993505120277405	0.994125127792358	0.993905544281006	0.993949353694916	0.994195699691772	0.994033753871918	0.994667053222656	0.994708895683289	0.994829118251801	0.994138777256012	0.995036542415619	0.99548351764679	0.995498538017273	0.995393455028534	0.99579644203186	0.996900796890259	0.995501697063446	0.995823919773102	0.996614515781403	0.99602472782135	0.996665298938751	0.995694756507874	0.995527982711792	0.996500849723816	0.996369421482086	0.996316730976105	0.995875597000122	0.997198939323425	0.996433734893799	0.996460258960724	0.996008098125458	0.995487809181213	0.996005296707153	0.99589592218399	0.994791686534882	0.994732737541199
30	0.989136457443237	0.989826202392578	0.990538895130157	0.990124881267548	0.990032374858856	0.990757882595062	0.991464257240295	0.991201877593994	0.991245210170746	0.991128981113434	0.991656184196472	0.99196320772171	0.991659820079803	0.992542564868927	0.991641759872437	0.992629587650299	0.99267190694809	0.993001043796539	0.992656409740448	0.993358075618744	0.993636846542358	0.992856502532959	0.993518829345703	0.993768334388733	0.993827879428864	0.993704497814178	0.993646740913391	0.992895603179932	0.993420362472534	0.993351459503174	0.993861198425293	0.993096113204956	0.993514060974121	0.992447853088379	0.994255483150482	0.993660748004913	0.992932915687561	0.993013083934784	0.992687344551086	0.992269575595856	0.992196142673492
33	0.985790371894836	0.986037135124207	0.986673831939697	0.986823260784149	0.986481070518494	0.987070024013519	0.987801790237427	0.987213551998138	0.988137722015381	0.987613499164581	0.988127291202545	0.988527357578278	0.988804996013641	0.988447666168213	0.988337337970734	0.989131271839142	0.989441573619843	0.989396870136261	0.989620268344879	0.989498555660248	0.990328013896942	0.990136563777924	0.989971399307251	0.990427851676941	0.990420520305634	0.990070760250092	0.990522444248199	0.989590167999268	0.990549266338348	0.990169107913971	0.990387499332428	0.989763736724854	0.990952670574188	0.98982560634613	0.990385770797729	0.990371525287628	0.988988518714905	0.990290105342865	0.989404082298279	0.988568544387817	0.988749265670776
36	0.980568706989288	0.980845808982849	0.981853723526001	0.98140013217926	0.980706393718719	0.982456386089325	0.981209337711334	0.982358932495117	0.981892883777618	0.983394920825958	0.982579708099365	0.983134627342224	0.983185112476349	0.983814775943756	0.982864856719971	0.983823955059052	0.98395299911499	0.98383355140686	0.984490215778351	0.983993530273438	0.985102772712708	0.984338104724884	0.985106825828552	0.98506498336792	0.984592139720917	0.984777092933655	0.984243988990784	0.984355390071869	0.984717309474945	0.985104262828827	0.984817624092102	0.98421972990036	0.984886169433594	0.984221398830414	0.984776198863983	0.984869539737701	0.984745264053345	0.984904050827026	0.984240472316742	0.983270645141602	0.983108997344971
39	0.971820831298828	0.971611857414246	0.972079217433929	0.972272038459778	0.972007095813751	0.973408401012421	0.972419440746307	0.97305291891098	0.973078370094299	0.974120020866394	0.974460184574127	0.973798215389252	0.974381566047668	0.97451913356781	0.973773896694183	0.975182771682739	0.975099444389343	0.974606335163116	0.975591123104095	0.975003004074097	0.975954830646515	0.975296676158905	0.975063264369965	0.976526439189911	0.975744962692261	0.97535628080368	0.975588619709015	0.975246787071228	0.975894629955292	0.974944710731506	0.976088523864746	0.975687026977539	0.976108431816101	0.974841177463531	0.975971937179565	0.975764393806458	0.975168108940125	0.976211488246918	0.974928021430969	0.974435865879059	0.973962247371674
42	0.95527046918869	0.954755008220673	0.955216288566589	0.955659151077271	0.955294907093048	0.955386996269226	0.956394374370575	0.95544171333313	0.956211268901825	0.956991314888	0.956426799297333	0.957395970821381	0.956938922405243	0.957392454147339	0.956833124160767	0.957870483398438	0.958274781703949	0.957542598247528	0.958376348018646	0.958069026470184	0.958871722221375	0.957916140556335	0.958299040794373	0.959104776382446	0.959126651287079	0.958533346652985	0.958786129951477	0.957912027835846	0.958667933940887	0.958734214305878	0.958525478839874	0.958203196525574	0.959077298641205	0.957923769950867	0.959263265132904	0.958645462989807	0.958210051059723	0.958931148052216	0.958974421024323	0.957527458667755	0.95754873752594
45	0.916963040828705	0.916849434375763	0.91808807849884	0.917563021183014	0.917767107486725	0.917925834655762	0.919216692447662	0.918396890163422	0.918951213359833	0.919772028923035	0.919044196605682	0.91919869184494	0.920319855213165	0.920000612735748	0.919452726840973	0.920614778995514	0.920452833175659	0.920783042907715	0.921119928359985	0.920984923839569	0.921052217483521	0.920539796352386	0.921133399009705	0.921984553337097	0.921107709407806	0.921851873397827	0.921294569969177	0.92062520980835	0.921492993831635	0.921024322509766	0.921932101249695	0.921307861804962	0.921959280967712	0.920717477798462	0.921541273593903	0.921910762786865	0.921335697174072	0.921752274036407	0.921127617359161	0.921367585659027	0.920349776744843
48	0.780073523521423	0.782203316688538	0.782349169254303	0.782568395137787	0.78260737657547	0.78444516658783	0.783376932144165	0.783736169338226	0.784477472305298	0.784567773342133	0.78455650806427	0.785127401351929	0.78536731004715	0.787051856517792	0.785466492176056	0.786751210689545	0.787141442298889	0.787234365940094	0.787993013858795	0.787787199020386	0.788474500179291	0.787787318229675	0.78844165802002	0.788842976093292	0.789356470108032	0.788793683052063	0.788878083229065	0.790068805217743	0.789765655994415	0.788964927196503	0.790456354618073	0.790059626102448	0.790173768997192	0.789364039897919	0.790871739387512	0.789878129959106	0.790392935276031	0.791469037532806	0.791469573974609	0.790950357913971	0.791638076305389
51	0.341255903244019	0.34255239367485	0.343615233898163	0.343626737594604	0.344464838504791	0.34481006860733	0.343538373708725	0.344979524612427	0.345260322093964	0.345041662454605	0.346028476953506	0.346389412879944	0.346252143383026	0.34643492102623	0.347054421901703	0.347501069307327	0.34782999753952	0.348138839006424	0.347123146057129	0.348103165626526	0.347921133041382	0.348073661327362	0.348545849323273	0.349256992340088	0.3499715924263	0.350604891777039	0.35010090470314	0.350403815507889	0.352085292339325	0.351535886526108	0.351889550685883	0.351424843072891	0.352875977754593	0.353077799081802	0.352336823940277	0.352874338626862	0.352920949459076	0.352877825498581	0.353067576885223	0.352823555469513	0.353531897068024
54	0.150543928146362	0.151189669966698	0.151184126734734	0.151368468999863	0.150991544127464	0.151263132691383	0.15162567794323	0.151958301663399	0.151774108409882	0.151016503572464	0.152117356657982	0.152251198887825	0.152305513620377	0.152421802282333	0.15204843878746	0.153358548879623	0.152319565415382	0.152586475014687	0.152659997344017	0.152689680457115	0.153014630079269	0.15247930586338	0.152614161372185	0.152630478143692	0.152972474694252	0.153051301836967	0.152672097086906	0.153081059455872	0.152542874217033	0.153484135866165	0.153171226382256	0.153379455208778	0.153415217995644	0.152975901961327	0.153497725725174	0.153337821364403	0.152831315994263	0.153622880578041	0.153431728482246	0.152728036046028	0.152824610471725
57	0.101108863949776	0.101254567503929	0.101262480020523	0.101220570504665	0.101990543305874	0.101743906736374	0.101882055401802	0.10205239802599	0.101662807166576	0.101455561816692	0.101927444338799	0.102074928581715	0.101884759962559	0.102183431386948	0.101683609187603	0.102022752165794	0.102729342877865	0.102113150060177	0.102255426347256	0.10226035118103	0.102588668465614	0.101939804852009	0.102140426635742	0.102380312979221	0.102352276444435	0.102305866777897	0.102755062282085	0.102430455386639	0.102936908602715	0.102605625987053	0.10273701697588	0.101965062320232	0.102326244115829	0.102626770734787	0.102078832685947	0.102099128067493	0.102516062557697	0.101989857852459	0.101990833878517	0.102063931524754	0.102376975119114
60	0.0786450579762459	0.0784918293356895	0.0786318629980087	0.0787483602762222	0.0791038125753403	0.0790059119462967	0.0787637308239937	0.0786873027682304	0.0790677517652512	0.078761950135231	0.0788967609405518	0.0791879519820213	0.0792765840888023	0.0792850404977798	0.0791791304945946	0.0789741203188896	0.0792719796299934	0.0803176462650299	0.0791717171669006	0.0794728323817253	0.0793445259332657	0.079246498644352	0.0794473811984062	0.0797336548566818	0.0791971758008003	0.0793414413928986	0.0790731757879257	0.0792656317353249	0.0788539499044418	0.0789457932114601	0.0797822996973991	0.0801371783018112	0.0794712379574776	0.0789813622832298	0.0793886482715607	0.0796307101845741	0.0794247686862946	0.0790242254734039	0.0795737728476524	0.0793741047382355	0.0785938128829002
63	0.0652051940560341	0.0652629211544991	0.0655996799468994	0.0650277882814407	0.0652028620243073	0.0665283054113388	0.0658105984330177	0.0654288530349731	0.0656846165657043	0.0667943209409714	0.065607987344265	0.0661049857735634	0.0659472420811653	0.066341370344162	0.0659225508570671	0.0657327845692635	0.0663745403289795	0.0662628784775734	0.0668416544795036	0.0660079568624496	0.0662514418363571	0.0663224458694458	0.066125825047493	0.0664314851164818	0.0661475956439972	0.066449835896492	0.0661484450101852	0.0662369132041931	0.0664049759507179	0.0664420574903488	0.0658426657319069	0.0658019408583641	0.0662387683987617	0.0663090422749519	0.0658687278628349	0.0662525221705437	0.0658673271536827	0.0659914091229439	0.0655797123908997	0.0658787041902542	0.065749503672123
66	0.0559681914746761	0.0557022467255592	0.0558162108063698	0.0565868876874447	0.0560798011720181	0.056091733276844	0.0566798709332943	0.0558360479772091	0.055988647043705	0.0568552054464817	0.0559154264628887	0.0564294457435608	0.0560541078448296	0.0564987361431122	0.0565789490938187	0.0560824647545815	0.056421797722578	0.0563147738575935	0.0562420561909676	0.0571969226002693	0.0568504743278027	0.0564246661961079	0.0563187599182129	0.0564922988414764	0.0569327808916569	0.0565609447658062	0.0564048141241074	0.0564732290804386	0.0561512112617493	0.0562675558030605	0.0565086528658867	0.0561439953744411	0.057124026119709	0.0560791790485382	0.0563039965927601	0.0561202056705952	0.0563409514725208	0.0563293881714344	0.0561762191355228	0.0557649843394756	0.0559595935046673
69	0.0486052967607975	0.0488774515688419	0.0487576648592949	0.0489885844290257	0.049318827688694	0.0491519346833229	0.0490096434950829	0.04939354211092	0.0489803552627563	0.0499648451805115	0.0489248745143414	0.049397986382246	0.049268364906311	0.0494731962680817	0.0496172234416008	0.0491515807807446	0.0495378822088242	0.0493187978863716	0.0498227663338184	0.0495078377425671	0.0507373735308647	0.0488298423588276	0.0496669597923756	0.0492569953203201	0.0490883812308311	0.0490167923271656	0.0494147539138794	0.0493463948369026	0.0497061610221863	0.0492634326219559	0.0491899736225605	0.0493551902472973	0.0494158193469048	0.0500104874372482	0.0494225472211838	0.0497166775166988	0.0488719567656517	0.049091100692749	0.0492441095411777	0.0491001084446907	0.0490166805684566
72	0.0437992364168167	0.0436234809458256	0.0440599322319031	0.0435864105820656	0.0434233099222183	0.0435603782534599	0.0439300388097763	0.0447405353188515	0.0441263914108276	0.0441799946129322	0.0438333638012409	0.0441232696175575	0.0438876003026962	0.0444024316966534	0.0444228462874889	0.0440461076796055	0.0442093126475811	0.0441503264009953	0.044689729809761	0.0444186814129353	0.0442394949495792	0.0442911796271801	0.0443113967776299	0.0440170168876648	0.044095404446125	0.0444574058055878	0.0440630838274956	0.0442551597952843	0.0440117828547955	0.0440372303128242	0.0442100390791893	0.0440099239349365	0.043908029794693	0.0438129343092442	0.044397946447134	0.0434955507516861	0.0440355613827705	0.0434162691235542	0.0437790080904961	0.0437858179211617	0.0434435531497002
75	0.0391327179968357	0.0392227955162525	0.0387951247394085	0.03933010622859	0.0393168888986111	0.0389841124415398	0.0392211675643921	0.0392435677349567	0.0403705090284348	0.0390593446791172	0.0393938049674034	0.0394610241055489	0.0394275449216366	0.0397501215338707	0.0396830141544342	0.0394055806100369	0.0398378856480122	0.0399210378527641	0.0398827418684959	0.0396541394293308	0.0394424386322498	0.0402232706546783	0.0396144241094589	0.0398046635091305	0.039716649800539	0.0392146296799183	0.0391808040440083	0.0398220159113407	0.0394105240702629	0.0395251885056496	0.0394786484539509	0.0396075844764709	0.0394907146692276	0.039467453956604	0.0395458377897739	0.0403363965451717	0.0395921096205711	0.0392899364233017	0.038972046226263	0.0388834178447723	0.0392058864235878
78	0.0346612632274628	0.0345446392893791	0.0351121462881565	0.0349483080208302	0.0349851548671722	0.0352738276124001	0.0352133959531784	0.0348579436540604	0.0353297963738441	0.0357817113399506	0.0354402177035809	0.0352812893688679	0.0352081321179867	0.0353548638522625	0.035684809088707	0.035620205104351	0.0354903824627399	0.0357156731188297	0.0348289720714092	0.0352905094623566	0.0357143916189671	0.035249724984169	0.035764642059803	0.0359712988138199	0.0352362729609013	0.0351801179349422	0.0358203165233135	0.0353903695940971	0.0354148894548416	0.0353134535253048	0.0354270227253437	0.0350035130977631	0.0355047918856144	0.0347953140735626	0.0348362140357494	0.0350900813937187	0.035956971347332	0.0352010056376457	0.0349038168787956	0.0350495465099812	0.0346354693174362
81	0.0318703576922417	0.0320653393864632	0.0316604748368263	0.0315749384462833	0.031803872436285	0.0320338644087315	0.0318887792527676	0.0318450704216957	0.0319563746452332	0.0321196168661118	0.0334484726190567	0.0320456512272358	0.0317689254879951	0.03233303129673	0.0323549658060074	0.0323222056031227	0.0323437936604023	0.032567635178566	0.0316417627036572	0.0322058983147144	0.0325388163328171	0.0319081209599972	0.032374382019043	0.0321064777672291	0.0326164923608303	0.0326649025082588	0.0326287448406219	0.0323736183345318	0.0319904908537865	0.0323029346764088	0.0325836986303329	0.0325796864926815	0.0320775918662548	0.0322554558515549	0.032101932913065	0.032231442630291	0.0318392366170883	0.0325663164258003	0.0319548696279526	0.0322364494204521	0.0319615639746189
84	0.0294890832155943	0.0284716933965683	0.0289176404476166	0.0289709568023682	0.0290732197463512	0.0288969185203314	0.0290858801454306	0.0292638838291168	0.0290759690105915	0.0292608495801687	0.029608529061079	0.0298706348985434	0.0290695764124393	0.0294352360069752	0.0296067576855421	0.0296416450291872	0.0295501444488764	0.0292027462273836	0.0295149646699429	0.0293501671403646	0.0294905006885529	0.0295199807733297	0.0296771395951509	0.0293636526912451	0.0293496120721102	0.0297070574015379	0.0289707742631435	0.0294286571443081	0.0294677969068289	0.0289084445685148	0.029204348102212	0.0291666053235531	0.0296135414391756	0.0288539920002222	0.0293256547302008	0.0290648136287928	0.0290422830730677	0.0289202407002449	0.0296536181122065	0.0288696866482496	0.028722133487463
87	0.0259419307112694	0.0263116285204887	0.0265404190868139	0.0260920878499746	0.0260530915111303	0.025970496237278	0.0263158679008484	0.02619125880301	0.026277732104063	0.02625697478652	0.0264325011521578	0.0260807871818542	0.0270024668425322	0.026405930519104	0.0265759564936161	0.0266276970505714	0.0262958761304617	0.0259963814169168	0.0266702566295862	0.0266784355044365	0.0264017600566149	0.0265624541789293	0.0261925794184208	0.02651746571064	0.026284484192729	0.0259656365960836	0.0268301069736481	0.0260260254144669	0.0257428251206875	0.0266270246356726	0.0262622032314539	0.0264588538557291	0.0258972439914942	0.0263411048799753	0.0259224269539118	0.0258787479251623	0.0258867479860783	0.0258082859218121	0.0260883197188377	0.0261894110590219	0.0256737004965544
90	0.0241008326411247	0.0248422473669052	0.0244452394545078	0.0245413538068533	0.0246012210845947	0.0249537155032158	0.0246161893010139	0.0248797535896301	0.0249884221702814	0.024847786873579	0.0249925237149	0.0247662160545588	0.0246722958981991	0.0257274378091097	0.025275120511651	0.0252627488225698	0.0248063299804926	0.0245502274483442	0.0255560036748648	0.0251929759979248	0.0249749217182398	0.0252398606389761	0.0249756760895252	0.0251288264989853	0.0247795674949884	0.0251686032861471	0.0253352262079716	0.0260708946734667	0.0251267328858376	0.024805773049593	0.0247245021164417	0.0247284024953842	0.0252441577613354	0.024767741560936	0.0251469891518354	0.0249278619885445	0.0249275360256433	0.0249420255422592	0.0248750131577253	0.0248985197395086	0.0251798033714294
93	0.0223332587629557	0.0221108384430408	0.0231932066380978	0.0221988167613745	0.0225345809012651	0.0223020184785128	0.0218745786696672	0.0222298577427864	0.0221871957182884	0.0221909731626511	0.0222979839891195	0.0222311858087778	0.0222524479031563	0.0223215222358704	0.0235870219767094	0.022571723908186	0.0221487749367952	0.022440068423748	0.0226454883813858	0.0226289499551058	0.0227500703185797	0.022156797349453	0.0226691011339426	0.0222496856004	0.0224258005619049	0.0227625500410795	0.0220136027783155	0.022680226713419	0.0231334026902914	0.0223226565867662	0.0223932433873415	0.0224002152681351	0.0218064710497856	0.0223207864910364	0.0218457523733377	0.0220064297318459	0.0221679359674454	0.0218420382589102	0.0221170913428068	0.021943649277091	0.0220672059804201
96	0.0194403175264597	0.0194793771952391	0.0199206098914146	0.02076012827456	0.019557723775506	0.019480112940073	0.019886389374733	0.0198697466403246	0.01990289054811	0.0199784580618143	0.019844189286232	0.0199545882642269	0.0198236312717199	0.0200529042631388	0.0201569981873035	0.0209301970899105	0.0198112651705742	0.0200966093689203	0.0197439473122358	0.0197432991117239	0.0200730636715889	0.0199046544730663	0.0204119198024273	0.0199502669274807	0.0198284368962049	0.0198645200580359	0.020046342164278	0.0196515098214149	0.0200918149203062	0.0211348831653595	0.0199601724743843	0.0200212188065052	0.0202831029891968	0.0200296696275473	0.0200413968414068	0.0196935031563044	0.0198909305036068	0.0200541596859694	0.0193681251257658	0.0191977079957724	0.0197111219167709
99	0.0185040142387152	0.0185380764305592	0.0185447167605162	0.0182203892618418	0.0194622259587049	0.0185708310455084	0.019118020310998	0.0187330078333616	0.0186419654637575	0.018886411562562	0.0188946705311537	0.0187789425253868	0.0185337420552969	0.0189245734363794	0.01891596801579	0.0188820287585258	0.019853139296174	0.0195552371442318	0.018676059320569	0.0188233014196157	0.0187899563461542	0.0190468356013298	0.0188702121376991	0.0192177481949329	0.0187868010252714	0.018723551183939	0.0186546072363853	0.0191085860133171	0.0188222452998161	0.0187025628983974	0.0198134388774633	0.0185328535735607	0.018397243693471	0.0184128507971764	0.0184830222278833	0.0185916125774384	0.019052742049098	0.0186418108642101	0.018875639885664	0.0189216211438179	0.0186621509492397
